seq,xcol, ycol
0,424.0, 501.0
1,1039.0, 317.0
2,0.0, 842.0
3,131.0, 598.0
4,0.0, 0.0
5,1515.0, 0.0
6,399.0, 0.0
7,1218.0, 0.0
8,0.0, 12.0
9,0.0, 506.0
10,336.0, 874.0
11,650.0, 980.0
12,3630.0, 5115.0
13,377.0, 0.0
14,0.0, 0.0
15,1484.0, 2427.0
16,0.0, 16.0
17,0.0, 789.0
18,6068.0, 1065.0
19,433.0, 1314.0
20,0.0, 224.0
21,855.0, 1320.0
22,0.0, 0.0
23,0.0, 0.0
24,0.0, 133.0
25,831.0, 0.0
26,0.0, 257.0
27,0.0, 0.0
28,0.0, 1446.0
29,0.0, 0.0
30,0.0, 0.0
31,0.0, 0.0
32,0.0, 0.0
33,137.0, 1162.0
34,1255.0, 854.0
35,0.0, 0.0
36,70.0, 0.0
37,0.0, 0.0
38,0.0, 589.0
39,697.0, 0.0
40,0.0, 811.0
41,0.0, 95.0
42,176.0, 1785.0
43,414.0, 1246.0
44,0.0, 608.0
45,490.0, 244.0
46,404.0, 420.0
47,102120.0, 33852.0
48,19.0, 501.0
49,2273.0, 0.0
50,1774.0, 1249.0
51,3109.0, 3641.0
52,0.0, 10.0
53,1072.0, 32.0
54,2790.0, 2288.0
55,482.0, 989.0
56,453.0, 33.0
57,0.0, 44.0
58,1391.0, 321.0
59,54.0, 341.0
60,153.0, 204.0
61,0.0, 369.0
62,110.0, 2484.0
63,844.0, 314.0
64,55.0, 46.0
65,4898.0, 628.0
66,1075.0, 130.0
67,0.0, 0.0
68,869.0, 243.0
69,250.0, 0.0
70,2172.0, 0.0
71,0.0, 350.0
72,435.0, 460.0
73,0.0, 0.0
74,0.0, 98.0
75,0.0, 401.0
76,0.0, 7210.0
77,805.0, 0.0
78,0.0, 785.0
79,0.0, 0.0
80,81.0, 96.0
81,708.0, 2144.0
82,440.0, 1454.0
83,1985.0, 2164.0
84,0.0, 361.0
85,999.0, 601.0
86,0.0, 207.0
87,90.0, 0.0
88,0.0, 1125.0
89,0.0, 0.0
90,1257.0, 0.0
91,271.0, 988.0
92,2265.0, 226.0
93,242.0, 0.0
94,227.0, 0.0
95,1822.0, 1453.0
96,214.0, 177.0
97,0.0, 0.0
98,0.0, 446.0
99,1321.0, 564.0
100,0.0, 0.0
101,0.0, 0.0
102,0.0, 549.0
103,0.0, 189.0
104,0.0, 623.0
105,2460.0, 1002.0
106,738.0, 571.0
107,1778.0, 1349.0
108,0.0, 40.0
109,214.0, 0.0
110,0.0, 341.0
111,0.0, 314.0
112,210.0, 0.0
113,0.0, 0.0
114,0.0, 1274.0
115,1727.0, 1850.0
116,299.0, 0.0
117,0.0, 644.0
118,840.0, 280.0
119,1336.0, 1793.0
120,0.0, 0.0
121,1601.0, 0.0
122,0.0, 501.0
123,0.0, 0.0
124,0.0, 0.0
125,396.0, 0.0
126,561.0, 0.0
127,472.0, 43.0
128,952.0, 792.0
129,0.0, 1159.0
130,413.0, 0.0
131,2992.0, 1460.0
132,1333.0, 518.0
133,0.0, 304.0
134,0.0, 0.0
135,0.0, 144.0
136,0.0, 0.0
137,816.0, 0.0
138,1085.0, 467.0
139,1914.0, 337.0
140,0.0, 36.0
141,926.0, 197.0
142,0.0, 0.0
143,0.0, 0.0
144,74.0, 0.0
145,248.0, 0.0
146,37.0, 384.0
147,1576.0, 0.0
148,551.0, 643.0
149,0.0, 0.0
150,245.0, 183.0
151,0.0, 0.0
152,1969.0, 655.0
153,121.0, 0.0
154,6228.0, 6046.0
155,163.0, 175.0
156,140.0, 0.0
157,329.0, 1764.0
158,0.0, 0.0
159,0.0, 883.0
160,682.0, 581.0
161,0.0, 746.0
162,0.0, 318.0
163,444.0, 0.0
164,56.0, 0.0
165,0.0, 380.0
166,0.0, 0.0
167,162.0, 0.0
168,140.0, 726.0
169,974.0, 601.0
170,403.0, 1740.0
171,0.0, 0.0
172,479.0, 330.0
173,0.0, 0.0
174,0.0, 698.0
175,0.0, 417.0
176,0.0, 0.0
177,586.0, 563.0
178,718.0, 0.0
179,0.0, 672.0
180,859.0, 3.0
181,860.0, 563.0
182,0.0, 110.0
183,0.0, 1017.0
184,1339.0, 1165.0
185,4677.0, 1086.0
186,0.0, 253.0
187,0.0, 1277.0
188,341.0, 2438.0
189,284.0, 1853.0
190,752.0, 0.0
191,632.0, 789.0
192,2.0, 190.0
193,687.0, 27.0
194,1289.0, 495.0
195,0.0, 537.0
196,0.0, 638.0
197,1915.0, 1169.0
198,0.0, 27.0
199,2601.0, 755.0
200,766.0, 541.0
