seq,xcol, ycol
0,937.6985, 9599.211
1,1288.7694, 9393.757
2,1054.2878, 9355.839
3,364.93372, 9546.746
4,452.58957, 8884.969
5,870.21936, 9459.462
6,595.5971, 9425.448
7,657.2845, 9589.415
8,751.6211, 9165.173
9,859.3443, 9208.493
10,551.78174, 9391.318
11,527.4363, 9364.699
12,746.21747, 9487.042
13,829.10004, 9501.1045
14,1270.6309, 9353.611
15,428.55975, 9364.644
16,555.54486, 9427.881
17,309.34216, 9465.88
18,586.0802, 9400.068
19,1077.6436, 9423.498
20,504.65955, 9447.536
21,577.50574, 9429.028
22,643.2721, 9408.753
23,1013.7674, 9536.556
24,469.28326, 9470.23
25,930.3691, 9445.752
26,654.5481, 9456.289
27,892.7464, 9400.085
28,562.6419, 9467.807
29,512.886, 9496.582
30,646.9559, 9278.739
31,1186.1139, 9377.851
32,955.8713, 9573.965
33,567.75836, 9562.978
34,1199.94, 9394.54
35,848.98706, 9359.672
36,743.47925, 9242.872
37,1185.0121, 9377.635
38,815.838, 9046.09
39,795.6582, 9548.947
40,836.7764, 8982.883
41,859.851, 9413.118
42,1606.2164, 9459.993
43,672.2116, 9688.927
44,620.9197, 9617.916
45,1158.4054, 9410.71
46,1094.2161, 9450.78
47,434.50314, 9671.901
48,596.92523, 9494.081
49,586.99274, 9382.313
50,862.3801, 9697.8955
51,802.30804, 9479.301
52,698.33966, 9412.022
53,1062.6279, 9452.846
54,906.73944, 9490.123
55,715.1448, 9431.096
56,1436.5681, 9600.65
57,995.6494, 9523.342
58,1156.7871, 9390.409
59,700.57465, 9019.836
60,718.25464, 9537.592
61,517.40546, 9402.9
62,848.3491, 9427.577
63,570.0263, 9415.784
64,1050.0513, 9983.291
65,1028.0986, 9599.618
66,623.5777, 9470.502
67,590.7983, 9553.245
68,786.626, 9446.787
69,1070.5612, 9455.574
70,1512.5552, 9417.888
71,1103.9232, 9366.52
72,774.1139, 9490.579
73,556.12823, 9457.947
74,1602.1089, 9466.471
75,483.48953, 9516.512
76,669.1116, 9455.539
77,1969.6243, 9501.1455
78,602.17566, 9430.406
79,414.8504, 9454.636
80,585.60925, 9242.255
81,1289.2921, 9502.47
82,694.05707, 9502.565
83,496.0808, 9440.532
84,1101.9803, 9398.307
85,559.8968, 9335.992
86,933.3567, 9403.226
87,466.0256, 9314.948
88,796.721, 9554.134
89,628.1565, 9415.048
90,172.74812, 9158.245
91,1240.0938, 9548.796
92,302.62357, 9421.797
93,562.0251, 9469.218
94,1515.1918, 9503.262
95,512.84033, 9548.64
96,542.32135, 9645.607
97,411.44327, 9461.841
98,1236.9401, 9387.568
99,553.8294, 9355.973
100,1602.4243, 9535.272
101,1548.2845, 9445.309
102,680.956, 9751.666
103,1601.213, 9474.556
104,1106.0957, 9470.428
105,430.5315, 9383.864
106,569.2658, 9576.422
107,779.1501, 9494.616
108,752.7214, 9535.147
109,494.54242, 9282.92
110,705.264, 9495.666
111,1233.3884, 9434.884
112,769.7861, 9927.922
113,636.08765, 9768.398
114,601.53955, 9371.007
115,765.48004, 9416.006
116,1519.352, 9324.424
117,827.1921, 9471.228
118,948.27155, 9320.122
119,901.65875, 9481.764
120,600.98346, 9447.267
121,1098.801, 9507.572
122,1024.9752, 9403.578
123,914.7483, 9218.774
124,1123.5387, 9408.603
125,1588.6583, 9463.675
126,1347.1285, 9429.98
127,632.5152, 9425.775
128,782.73645, 9520.609
129,687.50916, 9486.556
130,769.93494, 9273.898
131,698.3563, 9313.14
132,753.9508, 9692.548
133,860.5863, 9500.167
134,766.0223, 9239.631
135,782.5105, 9426.667
136,1119.982, 9250.708
137,545.18634, 9035.251
138,429.60043, 9248.862
139,602.9495, 9380.09
140,1242.2499, 9471.455
141,1034.6243, 9370.176
142,749.81226, 9525.934
143,487.06366, 9009.241
144,1046.1587, 9331.775
145,745.73987, 9363.408
146,1004.74817, 9365.673
147,1189.2727, 9425.391
148,456.5608, 9578.858
149,853.82886, 9490.828
150,550.25446, 9495.265
151,1468.967, 9507.442
152,1161.1927, 9506.579
153,632.25024, 9419.72
154,1507.7734, 9550.056
155,796.7421, 9683.32
156,810.5423, 9983.291
157,594.8342, 9450.108
158,680.29987, 9454.584
159,1134.8519, 9563.289
160,693.233, 9497.645
161,328.74576, 9365.922
162,480.65292, 9521.734
163,885.0105, 9406.165
164,812.3079, 9460.374
165,1313.1476, 9508.225
166,954.85925, 9456.0205
167,814.431, 9628.617
168,811.0404, 9479.836
169,1123.627, 9466.555
170,468.937, 9805.146
171,406.97885, 9983.291
172,788.8725, 9384.636
173,619.93896, 9461.811
174,1047.6005, 9511.331
175,365.25095, 9983.291
176,579.02924, 9663.593
177,544.2301, 9421.929
178,253.85234, 9571.164
179,433.13214, 9449.371
180,554.5201, 9409.313
181,460.66727, 9298.3545
182,563.9578, 9576.203
183,1228.7854, 9473.085
184,797.18274, 9409.501
185,478.45093, 9390.73
186,699.4502, 9654.81
187,1013.93396, 9360.181
188,1308.8165, 9386.6875
189,598.498, 9290.0205
190,708.93066, 9502.545
