seq,xcol, ycol
0,678.0, 51.0
1,0.0, 0.0
2,981.0, 619.0
3,0.0, 0.0
4,1149.0, 0.0
5,566.0, 0.0
6,774.0, 368.0
7,0.0, 0.0
8,0.0, 115.0
9,0.0, 350.0
10,0.0, 0.0
11,1813.0, 297.0
12,0.0, 0.0
13,0.0, 0.0
14,178.0, 0.0
15,0.0, 0.0
16,465.0, 357.0
17,0.0, 577.0
18,539.0, 132.0
19,1693.0, 4.0
20,0.0, 393.0
21,0.0, 0.0
22,0.0, 745.0
23,0.0, 166.0
24,0.0, 1576.0
25,0.0, 157.0
26,0.0, 0.0
27,1033.0, 0.0
28,1343.0, 53.0
29,0.0, 0.0
30,3209.0, 1219.0
31,226.0, 0.0
32,503.0, 336.0
33,700.0, 812.0
34,576.0, 0.0
35,3335.0, 1933.0
36,0.0, 0.0
37,240.0, 316.0
38,0.0, 0.0
39,0.0, 64.0
40,0.0, 0.0
41,218.0, 539.0
42,0.0, 1.0
43,0.0, 659.0
44,321.0, 0.0
45,0.0, 467.0
46,572.0, 260.0
47,461.0, 0.0
48,471.0, 432.0
49,0.0, 0.0
50,0.0, 325.0
51,0.0, 125.0
52,0.0, 551.0
53,138.0, 0.0
54,0.0, 117.0
55,0.0, 770.0
56,0.0, 1032.0
57,0.0, 32.0
58,0.0, 347.0
59,0.0, 0.0
60,0.0, 103.0
61,0.0, 0.0
62,44.0, 666.0
63,0.0, 23.0
64,2006.0, 1513.0
65,0.0, 293.0
66,2235.0, 0.0
67,845.0, 414.0
68,0.0, 0.0
69,287.0, 59.0
70,0.0, 874.0
71,0.0, 97.0
72,861.0, 191.0
73,938.0, 0.0
74,0.0, 0.0
75,50.0, 279.0
76,0.0, 0.0
77,566.0, 446.0
78,667.0, 354.0
79,0.0, 0.0
80,0.0, 305.0
81,648.0, 0.0
82,0.0, 36.0
83,0.0, 0.0
84,981.0, 456.0
85,0.0, 0.0
86,544.0, 150.0
87,0.0, 732.0
88,0.0, 0.0
89,1227.0, 997.0
90,0.0, 0.0
91,0.0, 244.0
92,241.0, 121.0
93,0.0, 0.0
94,221.0, 0.0
95,1427.0, 8167.0
96,0.0, 0.0
97,0.0, 0.0
98,8.0, 406.0
99,725.0, 115.0
100,0.0, 0.0
101,297.0, 182.0
102,1301.0, 0.0
103,0.0, 0.0
104,1145.0, 592.0
105,158.0, 279.0
106,0.0, 0.0
107,0.0, 249.0
108,0.0, 0.0
109,3021.0, 527.0
110,208.0, 27.0
111,2156.0, 0.0
112,2697.0, 925.0
113,2086.0, 132.0
114,0.0, 0.0
115,0.0, 51.0
116,0.0, 83.0
117,0.0, 357.0
118,0.0, 43.0
119,385.0, 0.0
120,0.0, 0.0
121,305.0, 0.0
122,1054.0, 523.0
123,1041.0, 198.0
124,0.0, 115.0
125,110.0, 343.0
126,409.0, 732.0
127,0.0, 0.0
128,0.0, 0.0
129,1029.0, 438.0
130,234.0, 369.0
131,0.0, 378.0
132,2088.0, 450.0
