seq,xcol, ycol
0,4858.0, 4981.0
1,561.0, 0.0
2,1470.0, 0.0
3,803.0, 0.0
4,698.0, 0.0
5,709.0, 0.0
6,676.0, 0.0
7,1006.0, 3126.0
8,700.0, 188.0
9,3246.0, 163.0
10,547.0, 0.0
11,720.0, 51.0
12,745.0, 0.0
13,687.0, 576.0
14,710.0, 0.0
15,620.0, 203.0
16,589.0, 65.0
17,942.0, 0.0
18,7118.0, 500.0
19,693.0, 366.0
20,582.0, 400.0
21,27490.0, 470.0
22,666.0, 213.0
23,662.0, 0.0
24,6747.0, 248.0
25,1174.0, 1064.0
26,631.0, 0.0
27,1450.0, 0.0
28,779.0, 106.0
29,1397.0, 0.0
30,1057.0, 0.0
31,720.0, 0.0
32,516.0, 168.0
33,895.0, 615.0
34,531.0, 425.0
35,28174.0, 768.0
36,602.0, 58.0
37,2322.0, 4510.0
38,462.0, 65.0
39,579.0, 103.0
40,533.0, 0.0
41,716.0, 9.0
42,18359.0, 152.0
43,773.0, 284.0
44,3284.0, 346.0
45,1482.0, 62.0
46,871.0, 0.0
47,14846.0, 27.0
48,576.0, 0.0
49,1091.0, 0.0
50,3209.0, 7068.0
51,547.0, 65.0
52,1197.0, 0.0
53,554.0, 765.0
54,1517.0, 0.0
55,4193.0, 284.0
56,547.0, 594.0
57,481.0, 0.0
58,609.0, 0.0
59,4852.0, 4.0
60,615.0, 153.0
61,579.0, 0.0
62,725.0, 0.0
63,17901.0, 54627.0
64,872.0, 0.0
65,684.0, 0.0
66,636.0, 0.0
67,6709.0, 359.0
68,672.0, 173.0
69,809.0, 150.0
70,39901.0, 4541.0
71,779.0, 0.0
72,948.0, 62.0
73,961.0, 18.0
74,5488.0, 0.0
75,795.0, 72.0
76,19395.0, 120179.0
77,875.0, 615.0
78,933.0, 834.0
79,4096.0, 2353.0
80,2424.0, 1024.0
81,1578.0, 0.0
82,678.0, 553.0
83,3409.0, 207.0
84,1116.0, 135.0
85,952.0, 9.0
86,739.0, 51.0
87,10929.0, 245.0
88,587.0, 0.0
89,649.0, 0.0
90,611.0, 0.0
91,1092.0, 355.0
92,892.0, 440.0
93,6728.0, 403.0
94,6620.0, 890.0
95,529.0, 382.0
96,901.0, 435.0
