seq,xcol, ycol
0,0.0, 86.0
1,381.0, 244.0
2,0.0, 0.0
3,839.0, 2270.0
4,395.0, 0.0
5,0.0, 0.0
6,351.0, 541.0
7,1113.0, 313.0
8,1499.0, 0.0
9,0.0, 0.0
10,80.0, 124.0
11,0.0, 0.0
12,0.0, 0.0
13,875.0, 154.0
14,419.0, 0.0
15,0.0, 142.0
16,1476.0, 778.0
17,252.0, 492.0
18,0.0, 461.0
19,0.0, 0.0
20,0.0, 150.0
21,128.0, 185.0
22,758.0, 27.0
23,0.0, 454.0
24,0.0, 0.0
25,523.0, 0.0
26,393.0, 2210.0
27,847.0, 466.0
28,0.0, 0.0
29,0.0, 0.0
30,395.0, 595.0
31,0.0, 0.0
32,1323.0, 23.0
33,317.0, 103.0
34,706.0, 0.0
35,945.0, 0.0
36,0.0, 301.0
37,316.0, 0.0
38,433.0, 505.0
39,810.0, 0.0
40,104.0, 86.0
41,0.0, 0.0
42,0.0, 0.0
43,1002.0, 246.0
44,787.0, 0.0
45,0.0, 0.0
46,1248.0, 85.0
47,56.0, 132.0
48,757.0, 0.0
49,0.0, 0.0
50,0.0, 0.0
51,0.0, 0.0
52,0.0, 0.0
53,0.0, 0.0
54,0.0, 220.0
55,18.0, 0.0
56,0.0, 0.0
57,359.0, 594.0
58,568.0, 54.0
59,0.0, 0.0
60,148.0, 0.0
61,0.0, 248.0
62,0.0, 217.0
63,0.0, 198.0
64,894.0, 665.0
65,767.0, 418.0
66,14.0, 0.0
67,285.0, 146.0
68,0.0, 0.0
69,356.0, 0.0
70,0.0, 152.0
71,0.0, 0.0
72,0.0, 0.0
73,96.0, 150.0
74,0.0, 0.0
75,0.0, 0.0
76,814.0, 0.0
77,0.0, 0.0
78,0.0, 719.0
79,704.0, 64.0
80,1952.0, 1099.0
81,0.0, 620.0
82,0.0, 0.0
83,0.0, 0.0
84,0.0, 0.0
85,0.0, 0.0
86,0.0, 0.0
87,0.0, 157.0
88,149.0, 0.0
89,0.0, 192.0
90,0.0, 0.0
91,463.0, 0.0
92,368.0, 0.0
93,118.0, 357.0
94,0.0, 80.0
95,0.0, 9560.0
96,0.0, 174.0
97,0.0, 0.0
98,0.0, 124.0
99,1363.0, 958.0
100,0.0, 0.0
101,0.0, 0.0
102,0.0, 0.0
103,0.0, 0.0
104,0.0, 0.0
105,261.0, 79.0
106,0.0, 87.0
107,2044.0, 3172.0
108,600.0, 0.0
109,0.0, 256.0
110,0.0, 0.0
111,0.0, 11.0
112,239.0, 26.0
113,117.0, 339.0
114,0.0, 332.0
115,15341.0, 8975.0
116,427.0, 0.0
117,0.0, 242.0
118,185.0, 0.0
119,0.0, 0.0
120,543.0, 375.0
121,0.0, 126.0
122,0.0, 728.0
123,0.0, 0.0
124,0.0, 0.0
125,0.0, 0.0
126,0.0, 184.0
127,700.0, 0.0
128,1487.0, 442.0
129,440.0, 0.0
130,218.0, 333.0
131,109.0, 506.0
132,0.0, 79.0
133,554.0, 0.0
134,289.0, 717.0
135,737.0, 43.0
136,0.0, 0.0
137,0.0, 111.0
138,0.0, 20.0
139,0.0, 193.0
140,136.0, 0.0
141,0.0, 46.0
142,0.0, 0.0
143,718.0, 205.0
144,1263.0, 3730.0
145,0.0, 0.0
146,2925.0, 419.0
147,765.0, 0.0
148,335.0, 0.0
149,168.0, 132.0
150,28451.0, 9320.0
151,0.0, 0.0
152,154.0, 0.0
153,0.0, 0.0
154,76.0, 0.0
155,0.0, 270.0
156,1544.0, 1255.0
157,453.0, 436.0
158,0.0, 154.0
159,931.0, 0.0
160,612.0, 6.0
161,285.0, 570.0
162,0.0, 0.0
163,749.0, 0.0
164,0.0, 277.0
165,0.0, 0.0
166,173.0, 0.0
167,1558.0, 918.0
168,815.0, 382.0
169,0.0, 0.0
170,2922.0, 0.0
171,0.0, 164.0
172,0.0, 106.0
173,0.0, 4.0
174,0.0, 312.0
175,857.0, 0.0
176,50.0, 37.0
177,0.0, 188.0
178,0.0, 0.0
179,89.0, 6.0
180,0.0, 0.0
181,2463.0, 69.0
182,0.0, 306.0
183,684.0, 198.0
184,853.0, 132.0
185,0.0, 445.0
186,0.0, 0.0
187,1419.0, 329.0
188,0.0, 0.0
189,0.0, 305.0
190,859.0, 0.0
191,554.0, 366.0
192,672.0, 436.0
193,0.0, 2.0
194,0.0, 39.0
195,0.0, 0.0
196,0.0, 0.0
197,758.0, 0.0
198,506.0, 0.0
199,0.0, 62.0
200,0.0, 0.0
201,538.0, 700.0
202,0.0, 57.0
203,0.0, 0.0
204,0.0, 0.0
205,0.0, 294.0
206,0.0, 26.0
207,435.0, 205.0
208,0.0, 0.0
209,46.0, 0.0
210,168.0, 12.0
211,0.0, 1615.0
212,0.0, 160.0
213,181.0, 44.0
214,1168.0, 27.0
215,0.0, 78.0
216,0.0, 87.0
217,0.0, 0.0
218,284.0, 326.0
219,524.0, 0.0
220,943.0, 54.0
221,448.0, 193.0
222,0.0, 0.0
223,1439.0, 326.0
224,0.0, 0.0
225,4659.0, 1483.0
226,0.0, 26.0
227,0.0, 47.0
228,0.0, 216.0
229,76.0, 138.0
230,197.0, 0.0
231,162.0, 293.0
232,943.0, 425.0
233,0.0, 241.0
234,2575.0, 1035.0
235,156.0, 92.0
236,221.0, 519.0
237,1133.0, 238.0
238,0.0, 0.0
239,1313.0, 0.0
240,0.0, 104.0
241,178.0, 161.0
242,0.0, 216.0
243,0.0, 0.0
244,539.0, 0.0
245,345.0, 0.0
246,0.0, 0.0
247,753.0, 27.0
248,0.0, 0.0
249,943.0, 0.0
250,559.0, 0.0
251,0.0, 0.0
252,0.0, 0.0
253,965.0, 478.0
254,467.0, 555.0
255,1241.0, 675.0
256,0.0, 0.0
257,0.0, 0.0
258,0.0, 0.0
259,98.0, 365.0
260,106.0, 404.0
261,0.0, 0.0
262,339.0, 0.0
263,212.0, 33.0
264,0.0, 40.0
265,0.0, 0.0
266,57.0, 175.0
267,371.0, 0.0
268,0.0, 0.0
269,599.0, 362.0
270,0.0, 0.0
271,0.0, 0.0
272,542.0, 440.0
273,287.0, 0.0
274,0.0, 0.0
275,801.0, 0.0
276,682.0, 0.0
277,0.0, 185.0
278,726.0, 54.0
279,217.0, 138.0
280,766.0, 272.0
281,0.0, 0.0
282,0.0, 315.0
283,0.0, 152.0
284,206.0, 1940.0
285,0.0, 54.0
286,0.0, 0.0
287,264.0, 0.0
288,337.0, 0.0
289,313.0, 0.0
290,0.0, 135.0
291,0.0, 6.0
292,0.0, 411.0
293,882.0, 0.0
294,0.0, 108.0
295,0.0, 0.0
296,0.0, 0.0
297,0.0, 0.0
298,810.0, 957.0
299,0.0, 161.0
300,0.0, 936.0
301,683.0, 376.0
302,769.0, 168.0
303,1303.0, 16.0
304,158.0, 0.0
305,0.0, 238.0
306,1156.0, 189.0
307,0.0, 0.0
308,0.0, 0.0
309,0.0, 0.0
310,0.0, 0.0
311,0.0, 0.0
312,984.0, 265.0
313,0.0, 0.0
314,293.0, 0.0
315,52.0, 0.0
316,0.0, 103.0
317,608.0, 0.0
318,1655.0, 0.0
319,943.0, 0.0
320,1355.0, 841.0
321,488.0, 117.0
322,0.0, 219.0
323,440.0, 340.0
324,0.0, 0.0
325,0.0, 34.0
326,1211.0, 0.0
327,0.0, 0.0
328,0.0, 323.0
329,0.0, 0.0
330,906.0, 209.0
331,0.0, 147.0
332,1126.0, 731.0
333,0.0, 0.0
334,0.0, 270.0
335,0.0, 59.0
336,0.0, 0.0
337,0.0, 58.0
338,0.0, 0.0
339,727.0, 259.0
340,0.0, 108.0
341,0.0, 0.0
342,447.0, 0.0
343,742.0, 223.0
344,914.0, 242.0
345,170.0, 0.0
346,0.0, 256.0
347,0.0, 732.0
348,0.0, 166.0
349,106.0, 6952.0
350,711.0, 139.0
351,0.0, 68.0
352,542.0, 39.0
353,688.0, 131.0
354,0.0, 0.0
355,88.0, 260.0
356,116.0, 0.0
357,0.0, 0.0
358,1053.0, 534.0
359,277.0, 50.0
360,882.0, 11.0
361,0.0, 0.0
362,0.0, 30.0
363,0.0, 396.0
364,0.0, 0.0
365,542.0, 103.0
366,624.0, 0.0
367,0.0, 634.0
368,0.0, 332.0
369,0.0, 0.0
370,610.0, 0.0
371,1793.0, 422.0
372,815.0, 0.0
373,0.0, 0.0
374,0.0, 149.0
375,0.0, 426.0
376,2038.0, 57.0
377,0.0, 0.0
378,192.0, 220.0
379,0.0, 0.0
380,0.0, 0.0
381,0.0, 0.0
382,0.0, 376.0
383,0.0, 0.0
384,867.0, 0.0
385,356.0, 308.0
386,0.0, 0.0
387,671.0, 0.0
388,0.0, 326.0
389,0.0, 76.0
390,0.0, 1.0
391,317.0, 0.0
392,0.0, 196.0
393,0.0, 526.0
394,806.0, 0.0
395,0.0, 202.0
396,1639.0, 586.0
397,0.0, 359.0
398,0.0, 0.0
399,2231.0, 835.0
400,169.0, 149.0
401,269.0, 75.0
402,833.0, 0.0
403,0.0, 0.0
404,452.0, 510.0
405,0.0, 0.0
406,632.0, 0.0
407,272.0, 757.0
408,0.0, 0.0
409,0.0, 0.0
410,277.0, 0.0
411,0.0, 22.0
412,153.0, 355.0
413,869.0, 0.0
414,239.0, 9.0
415,0.0, 0.0
416,29.0, 0.0
417,1542.0, 718.0
418,0.0, 478.0
419,0.0, 0.0
420,265.0, 0.0
421,0.0, 0.0
422,11537.0, 5576.0
423,2673.0, 0.0
424,1307.0, 72.0
425,0.0, 0.0
426,130.0, 714.0
427,56.0, 0.0
428,0.0, 251.0
429,5471.0, 3577.0
430,0.0, 173.0
431,2009.0, 0.0
432,962.0, 0.0
433,914.0, 0.0
434,0.0, 0.0
435,626.0, 0.0
436,0.0, 32.0
437,0.0, 0.0
438,0.0, 0.0
439,436.0, 0.0
440,0.0, 0.0
441,16.0, 572.0
442,921.0, 329.0
443,0.0, 672.0
444,0.0, 206.0
445,0.0, 450.0
446,431.0, 0.0
447,461.0, 425.0
448,0.0, 0.0
449,452.0, 150.0
450,172.0, 0.0
451,1096.0, 747.0
452,0.0, 0.0
453,0.0, 150.0
454,1054.0, 115.0
455,70.0, 147.0
456,344.0, 796.0
457,710.0, 379.0
458,0.0, 166.0
459,393.0, 50.0
460,0.0, 0.0
461,0.0, 0.0
462,0.0, 0.0
463,0.0, 41.0
464,0.0, 0.0
465,1835.0, 0.0
466,1795.0, 0.0
467,1182.0, 128.0
468,0.0, 76.0
469,0.0, 163.0
470,495.0, 0.0
471,0.0, 551.0
472,0.0, 18.0
473,1036.0, 0.0
474,408.0, 0.0
475,108.0, 0.0
476,0.0, 0.0
477,0.0, 125.0
478,0.0, 160.0
479,379.0, 0.0
480,464.0, 0.0
