seq,xcol, ycol
0,368.0, 890.0
1,345.0, 642.0
2,617.0, 351.0
3,705.0, 0.0
4,12923.0, 1132.0
5,13878.0, 0.0
6,15497.0, 159.0
7,11680.0, 548.0
8,42743.0, 3327.0
9,890.0, 753.0
10,1321.0, 226.0
11,8185.0, 572.0
12,1548.0, 5651.0
13,437.0, 1165.0
14,447.0, 0.0
15,382.0, 1110.0
16,10007.0, 0.0
17,3166.0, 10.0
18,301.0, 1196.0
19,7558.0, 0.0
20,3986.0, 1038.0
21,505.0, 0.0
22,4237.0, 0.0
23,5900.0, 867.0
24,3754.0, 1683.0
25,581.0, 529.0
26,17173.0, 1671.0
27,586.0, 731.0
28,344.0, 554.0
29,566.0, 281.0
30,482.0, 146.0
31,611.0, 2006.0
32,8662.0, 1490.0
33,5214.0, 1277.0
34,694.0, 671.0
35,509.0, 0.0
36,772.0, 1063.0
37,6618.0, 3577.0
38,6905.0, 1251.0
39,7373.0, 2088.0
40,20493.0, 3502.0
41,1460.0, 944.0
42,374.0, 683.0
43,3372.0, 1092.0
44,4271.0, 59.0
45,290.0, 413.0
46,14021.0, 1779.0
47,18525.0, 472.0
48,1059.0, 338.0
49,800.0, 3286.0
50,396.0, 496.0
51,2708.0, 522.0
52,15128.0, 1354.0
53,368.0, 1454.0
54,555.0, 1934.0
55,29181.0, 1951.0
56,13404.0, 1354.0
57,394.0, 0.0
58,559.0, 41.0
59,1078.0, 0.0
60,4557.0, 1041.0
61,21783.0, 682.0
62,382.0, 0.0
63,33407.0, 2984.0
64,580.0, 2276.0
65,15235.0, 0.0
66,655.0, 1504.0
67,606.0, 1413.0
68,1118.0, 1089.0
69,529.0, 314.0
70,28337.0, 2363.0
71,529.0, 0.0
72,606.0, 32.0
73,334.0, 0.0
74,1325.0, 0.0
75,735.0, 845.0
76,9741.0, 2369.0
77,8207.0, 532.0
78,8891.0, 1505.0
79,2585.0, 735.0
80,8854.0, 2743.0
81,763.0, 1768.0
82,2864.0, 10691.0
83,308.0, 992.0
84,35011.0, 1240.0
85,1482.0, 794.0
86,48355.0, 3753.0
87,11850.0, 1184.0
88,9024.0, 2641.0
89,1197.0, 1139.0
90,1286.0, 1149.0
91,308.0, 1096.0
92,5654.0, 592.0
93,3430.0, 709.0
94,636.0, 1155.0
95,6164.0, 2.0
96,8925.0, 690.0
97,55307.0, 2236.0
98,402.0, 0.0
99,641.0, 366.0
100,39699.0, 4094.0
101,5438.0, 2792.0
102,21567.0, 2910.0
103,1787.0, 736.0
104,356.0, 632.0
105,457.0, 705.0
106,43669.0, 3622.0
107,9883.0, 2755.0
108,437.0, 1549.0
109,24130.0, 985.0
110,696.0, 2684.0
111,549.0, 525.0
112,8368.0, 2876.0
113,491.0, 134.0
114,6618.0, 2770.0
115,3717.0, 1726.0
116,18285.0, 1229.0
117,394.0, 1596.0
118,532.0, 374.0
119,673.0, 271.0
120,11277.0, 1209.0
121,3873.0, 892.0
122,4456.0, 2759.0
123,1414.0, 1014.0
124,414.0, 495.0
125,32583.0, 1353.0
126,494.0, 0.0
127,3141.0, 942.0
128,22700.0, 2004.0
129,293.0, 0.0
130,10790.0, 1062.0
131,4698.0, 996.0
132,27354.0, 1472.0
133,11169.0, 1114.0
134,10803.0, 2913.0
135,514.0, 2404.0
136,4636.0, 367.0
137,644.0, 107.0
138,5514.0, 0.0
139,8010.0, 1539.0
140,17307.0, 1976.0
141,1533.0, 1480.0
142,371.0, 802.0
143,51940.0, 1869.0
144,8821.0, 0.0
145,4686.0, 918.0
146,2194.0, 64876.0
147,3271.0, 1332.0
148,751.0, 1192.0
149,475.0, 1438.0
150,826.0, 450.0
151,773.0, 385.0
152,1918.0, 0.0
153,140609.0, 28076.0
154,4419.0, 1316.0
155,30249.0, 3212.0
156,4108.0, 1033.0
157,463.0, 0.0
158,3456.0, 1663.0
159,1437.0, 933.0
160,429.0, 801.0
161,488.0, 0.0
162,382.0, 3183.0
163,13958.0, 3573.0
164,375.0, 894.0
165,24517.0, 4282.0
166,1900.0, 233.0
167,27347.0, 3031.0
168,367.0, 964.0
169,3401.0, 75013.0
170,362.0, 0.0
171,734.0, 7237.0
172,17870.0, 3750.0
173,473.0, 970.0
174,11877.0, 2656.0
175,315.0, 0.0
176,11529.0, 2232.0
177,1681.0, 0.0
178,678.0, 2250.0
179,22121.0, 908.0
180,3114.0, 1298.0
181,1968.0, 676.0
182,7169.0, 1307.0
183,538.0, 0.0
184,49019.0, 1613.0
185,61456.0, 889.0
186,447.0, 0.0
187,939.0, 1110.0
188,834.0, 913.0
189,2057.0, 1510.0
190,8643.0, 155.0
191,566.0, 1475.0
192,314.0, 713.0
193,3119.0, 1917.0
194,4254.0, 1292.0
195,14536.0, 1605.0
196,26459.0, 2072.0
197,3446.0, 1740.0
198,314.0, 813.0
199,69778.0, 4370.0
200,13618.0, 3036.0
201,1329.0, 15043.0
202,4391.0, 0.0
203,13998.0, 2966.0
204,5284.0, 2206.0
205,8575.0, 2363.0
206,37543.0, 2478.0
207,1750.0, 1036.0
208,2894.0, 1858.0
209,416.0, 0.0
210,46605.0, 2612.0
211,490.0, 1133.0
212,2337.0, 1542.0
213,1475.0, 554.0
214,46773.0, 2540.0
215,13452.0, 3189.0
216,758.0, 458.0
217,829.0, 0.0
218,641.0, 0.0
219,42607.0, 1803.0
220,333.0, 271.0
221,5211.0, 113.0
222,2118.0, 1192.0
223,3085.0, 868.0
224,1015.0, 16.0
225,1141.0, 0.0
226,2070.0, 775.0
227,47219.0, 1015.0
228,535.0, 3064.0
229,2420.0, 1630.0
230,43537.0, 1420.0
231,14003.0, 2695.0
232,29979.0, 5288.0
233,4900.0, 1906.0
234,2795.0, 2188.0
235,533.0, 0.0
236,327.0, 1451.0
237,421.0, 1947.0
238,323.0, 1370.0
239,2801.0, 937.0
240,11030.0, 923.0
241,33773.0, 2829.0
242,1377.0, 397.0
243,5432.0, 1416.0
244,59036.0, 1210.0
245,14542.0, 1306.0
246,1055.0, 2862.0
247,515.0, 0.0
248,552.0, 0.0
249,420.0, 188.0
250,20489.0, 444.0
251,454.0, 0.0
252,559.0, 0.0
253,21783.0, 1406.0
254,14580.0, 1565.0
255,2595.0, 65.0
256,51778.0, 237.0
257,288.0, 0.0
258,6217.0, 216.0
259,3000.0, 5.0
260,1763.0, 209.0
261,79241.0, 4845.0
262,5072.0, 1476.0
263,5854.0, 1822.0
264,28894.0, 2997.0
265,472.0, 848.0
266,298.0, 0.0
267,14787.0, 1605.0
268,4469.0, 293.0
269,1244.0, 0.0
270,14680.0, 3782.0
271,486.0, 52.0
272,300.0, 0.0
273,22774.0, 2747.0
274,13124.0, 2004.0
275,2630.0, 148.0
276,437.0, 263.0
277,9733.0, 1626.0
278,10763.0, 2665.0
279,2831.0, 826.0
280,534.0, 1042.0
281,577.0, 758.0
282,388.0, 0.0
283,10665.0, 2107.0
284,7323.0, 675.0
285,15527.0, 2973.0
286,738.0, 1480.0
287,484.0, 1206.0
288,471.0, 1456.0
289,9582.0, 968.0
290,10110.0, 4572.0
291,10583.0, 625.0
292,3729.0, 1844.0
293,6903.0, 1718.0
294,8057.0, 2092.0
295,17113.0, 4949.0
296,8443.0, 237.0
297,32977.0, 4033.0
298,2653.0, 1274.0
299,3895.0, 800.0
300,7394.0, 1366.0
301,9825.0, 411.0
302,22184.0, 1493.0
303,11002.0, 506.0
304,14514.0, 1509.0
305,19288.0, 1892.0
306,4231.0, 4427.0
307,388.0, 533.0
308,63138.0, 1069.0
309,5684.0, 3194.0
310,18214.0, 2557.0
311,1209.0, 1176.0
312,18044.0, 1536.0
313,7190.0, 2140.0
314,363.0, 492.0
315,1206.0, 1952.0
316,5781.0, 513.0
317,371.0, 0.0
318,23403.0, 4199.0
319,16374.0, 1833.0
320,350.0, 0.0
321,14062.0, 3716.0
322,2972.0, 3116.0
323,375.0, 723.0
324,349.0, 115.0
325,1086.0, 0.0
326,377.0, 631.0
327,1205.0, 705.0
328,344.0, 1155.0
329,43159.0, 1873.0
330,11006.0, 532.0
331,1402.0, 1606.0
332,513.0, 249.0
333,918.0, 1344.0
334,5715.0, 1620.0
335,1998.0, 1509.0
336,26769.0, 978.0
337,301.0, 920.0
338,443.0, 0.0
339,6162.0, 0.0
340,1947.0, 543.0
341,444.0, 323.0
342,339.0, 0.0
343,22868.0, 1778.0
344,20626.0, 1767.0
345,10075.0, 1210.0
346,4379.0, 1833.0
347,7512.0, 175.0
348,992.0, 1554.0
349,315.0, 798.0
350,33214.0, 1375.0
351,15579.0, 2430.0
352,1039.0, 0.0
353,498.0, 0.0
354,427.0, 0.0
355,3597.0, 115.0
356,726.0, 1149.0
357,3573.0, 1528.0
358,3263.0, 244.0
359,10808.0, 1653.0
360,1748.0, 2457.0
361,29047.0, 1166.0
362,9649.0, 3418.0
363,49999.0, 2615.0
364,8493.0, 1327.0
365,1933.0, 1185.0
366,330.0, 131.0
367,407.0, 1167.0
368,415.0, 0.0
369,3364.0, 97.0
370,489.0, 226.0
371,8206.0, 599.0
372,25917.0, 2500.0
373,428.0, 76.0
374,308.0, 104.0
375,23949.0, 3672.0
376,10439.0, 426.0
377,5885.0, 1796.0
378,12787.0, 2934.0
379,11133.0, 904.0
380,11303.0, 0.0
381,8060.0, 0.0
382,314.0, 514.0
383,4167.0, 2002.0
384,5319.0, 0.0
385,42521.0, 1708.0
386,4925.0, 1715.0
387,43064.0, 930.0
388,422.0, 0.0
389,22741.0, 909.0
390,419.0, 679.0
391,2193.0, 1044.0
392,435.0, 0.0
393,662.0, 0.0
394,812.0, 0.0
395,401.0, 1929.0
396,8923.0, 2415.0
397,22512.0, 1546.0
398,2457.0, 672.0
399,342.0, 1136.0
400,8960.0, 688.0
401,14121.0, 1869.0
402,705.0, 1897.0
403,18735.0, 988.0
404,40673.0, 8850.0
405,4879.0, 1794.0
406,527.0, 1125.0
407,4943.0, 2831.0
408,4266.0, 2724.0
409,707.0, 34891.0
410,17775.0, 2242.0
411,10018.0, 2969.0
412,12668.0, 3915.0
413,4241.0, 0.0
414,13369.0, 1644.0
415,346.0, 606.0
416,7941.0, 731.0
417,7754.0, 820.0
418,391.0, 411.0
419,299.0, 1015.0
420,2374.0, 1770.0
421,565.0, 1329.0
422,330.0, 178.0
423,378.0, 0.0
424,12694.0, 900.0
425,8429.0, 1410.0
426,287.0, 576.0
427,5502.0, 57443.0
428,6866.0, 1258.0
429,467.0, 28.0
430,679.0, 480.0
431,420.0, 0.0
432,28391.0, 1321.0
433,8326.0, 642.0
434,4191.0, 613.0
435,1507.0, 1152.0
436,5294.0, 0.0
437,2656.0, 1022.0
438,6903.0, 1567.0
439,1178.0, 982.0
440,16718.0, 1634.0
441,486.0, 451.0
442,11126.0, 2883.0
443,732.0, 0.0
444,4685.0, 1386.0
445,7991.0, 1687.0
446,704.0, 769.0
447,14808.0, 786.0
448,7134.0, 1218.0
449,2414.0, 1844.0
450,1356.0, 753.0
451,3965.0, 0.0
452,39940.0, 2291.0
453,42423.0, 6209.0
454,1003.0, 1204.0
455,464.0, 1383.0
456,1066.0, 0.0
457,408.0, 192.0
458,700.0, 1209.0
459,340.0, 174.0
460,306.0, 0.0
461,11586.0, 1993.0
462,36122.0, 2420.0
463,5224.0, 462.0
464,9910.0, 0.0
465,576.0, 0.0
466,386.0, 374.0
467,524.0, 60.0
468,478.0, 0.0
469,2864.0, 63.0
470,429.0, 0.0
471,24905.0, 2014.0
472,699.0, 0.0
473,6287.0, 1384.0
474,11350.0, 2051.0
475,405.0, 0.0
476,1302.0, 688.0
477,20247.0, 2630.0
478,16407.0, 1092.0
479,1725.0, 753.0
480,3048.0, 0.0
481,10532.0, 1594.0
482,845.0, 881.0
483,301.0, 492.0
484,13932.0, 91.0
485,633.0, 579.0
486,497.0, 0.0
487,554.0, 0.0
488,1655.0, 0.0
489,2109.0, 215.0
490,15633.0, 507.0
491,5342.0, 410.0
492,37520.0, 1409.0
493,748.0, 2076.0
494,32297.0, 1342.0
495,23133.0, 1819.0
496,2497.0, 1637.0
497,646.0, 994.0
498,8841.0, 1856.0
499,650.0, 1497.0
500,19780.0, 3804.0
501,8341.0, 687.0
502,18138.0, 1211.0
503,402.0, 0.0
504,1142.0, 682.0
505,320.0, 596.0
506,5682.0, 2831.0
507,3216.0, 850.0
508,1604.0, 967.0
509,8419.0, 1239.0
510,374.0, 782.0
511,839.0, 0.0
512,3895.0, 1978.0
513,8177.0, 1797.0
514,25370.0, 2328.0
515,405.0, 0.0
516,274.0, 790.0
517,12054.0, 1169.0
518,351.0, 1044.0
519,52518.0, 2341.0
520,2284.0, 1440.0
521,1207.0, 606.0
522,4247.0, 257.0
523,781.0, 0.0
524,994.0, 522.0
525,2480.0, 253.0
526,5615.0, 1785.0
527,26638.0, 2567.0
528,353.0, 881.0
529,383.0, 1458.0
530,281.0, 0.0
531,1196.0, 317.0
532,288.0, 673.0
533,365.0, 0.0
534,11803.0, 1206.0
535,945.0, 1391.0
536,9931.0, 1369.0
537,3718.0, 1913.0
538,57560.0, 1613.0
539,587.0, 1453.0
540,4509.0, 548.0
541,43915.0, 2022.0
542,5141.0, 1397.0
543,496.0, 513.0
544,9143.0, 3106.0
545,8422.0, 815.0
546,24692.0, 1119.0
547,29211.0, 708.0
548,2595.0, 0.0
549,419.0, 0.0
550,8645.0, 1427.0
551,12166.0, 2638.0
552,59905.0, 12588.0
553,356.0, 0.0
554,715.0, 0.0
555,10478.0, 168.0
556,10785.0, 2271.0
557,2152.0, 838.0
558,1064.0, 168.0
559,678.0, 1751.0
560,332.0, 0.0
561,3595.0, 1243.0
562,546.0, 1387.0
563,568.0, 931.0
564,1642.0, 1114.0
565,8347.0, 2217.0
566,420.0, 200.0
567,1605.0, 214.0
568,4053.0, 1235.0
569,3085.0, 539.0
570,1640.0, 2525.0
571,2841.0, 1921.0
572,617.0, 0.0
573,691.0, 34.0
574,14441.0, 3093.0
575,2814.0, 32.0
576,899.0, 1261.0
577,24581.0, 3945.0
578,15618.0, 3996.0
579,13242.0, 1836.0
580,1236.0, 1081.0
581,469.0, 594.0
582,33825.0, 5286.0
583,36726.0, 1644.0
584,8720.0, 1605.0
585,3647.0, 509.0
586,26803.0, 0.0
587,16883.0, 4860.0
588,432.0, 45.0
589,362.0, 719.0
590,8935.0, 21.0
591,389.0, 448.0
592,1033.0, 4197.0
593,9213.0, 1380.0
594,5876.0, 1472.0
595,10816.0, 2180.0
596,3185.0, 0.0
597,947.0, 12788.0
598,69593.0, 4619.0
599,431.0, 0.0
600,2577.0, 1985.0
601,1222.0, 0.0
602,7669.0, 2099.0
603,8351.0, 981.0
604,3609.0, 1056.0
605,271.0, 0.0
606,4138.0, 484.0
607,2462.0, 153.0
608,11070.0, 323.0
609,2561.0, 668.0
610,3191.0, 712.0
611,16704.0, 1348.0
612,850.0, 1021.0
613,27854.0, 3012.0
614,640.0, 1328.0
615,489.0, 535.0
616,30001.0, 60.0
617,18254.0, 1346.0
618,30551.0, 761.0
619,365.0, 1541.0
620,27333.0, 915.0
621,3307.0, 43.0
622,452.0, 248.0
623,4334.0, 1506.0
624,560.0, 0.0
625,3088.0, 174.0
626,467.0, 677.0
627,3382.0, 0.0
628,314.0, 655.0
629,16273.0, 2453.0
630,17181.0, 1210.0
631,777.0, 2461.0
632,679.0, 1188.0
633,6334.0, 1871.0
634,78183.0, 3091.0
635,5941.0, 459.0
636,17830.0, 1829.0
637,2392.0, 816.0
638,14350.0, 1226.0
639,7732.0, 1160.0
640,37655.0, 926.0
641,595.0, 515.0
642,7097.0, 1390.0
643,5679.0, 0.0
644,600.0, 1192.0
645,448.0, 406.0
646,447.0, 0.0
647,444.0, 414.0
648,1797.0, 860.0
649,2170.0, 0.0
650,12334.0, 3504.0
651,33965.0, 2864.0
652,4399.0, 978.0
653,635.0, 1612.0
654,352.0, 846.0
655,30808.0, 2452.0
656,640.0, 507.0
657,419.0, 0.0
658,10422.0, 1874.0
659,438.0, 0.0
660,629.0, 1556.0
661,333.0, 0.0
662,6084.0, 1563.0
663,678.0, 238.0
664,1131.0, 11908.0
665,3579.0, 1200.0
666,27466.0, 1397.0
667,666.0, 782.0
668,368.0, 0.0
669,2921.0, 0.0
670,1437.0, 0.0
671,2168.0, 3370.0
672,325.0, 317.0
673,611.0, 1149.0
674,22320.0, 4304.0
675,3404.0, 1501.0
676,26698.0, 0.0
677,938.0, 7889.0
678,16357.0, 2092.0
679,481.0, 209.0
680,8595.0, 1278.0
681,11705.0, 2450.0
682,13869.0, 1202.0
683,8514.0, 809.0
684,680.0, 0.0
685,589.0, 1145.0
686,697.0, 4712.0
687,5913.0, 794.0
688,6338.0, 495.0
689,301.0, 137.0
690,306.0, 481.0
691,4692.0, 782.0
692,352.0, 0.0
693,304.0, 561.0
694,620.0, 303.0
695,669.0, 31.0
696,8696.0, 1085.0
697,276.0, 533.0
698,14431.0, 487.0
699,23428.0, 2603.0
700,598.0, 1789.0
701,5812.0, 931.0
702,1264.0, 0.0
703,368.0, 1512.0
