FSC-H,SSC-H,FITC-H,PE-H,FSC-A,SSC-A,FITC-A,PE-A,Width,Time
1218446,1.360822E+07,1609,576,1690948,1.061966E+07,6336,2244,156,111.800
771941,2596400,1003,498,600816,1926406,3048,1042,117,116.800
322348,163061,204,349,140213,66599,44,319,59,291.800
271760,110398,349,93,85875,34170,256,65,51,311.800
105938,92788,306,-133,40617,36246,203,-74,50,676.800
392536,5134706,389,520,251197,3491374,626,978,100,976.800
154280,192484,1041,593,70107,88993,1850,972,64,1001.800
100826,1367099,65,53,56615,625888,-26,-4,71,1111.800
123782,73120,146,365,39311,25483,-25,238,54,1116.800
106523,120108,408,540,33340,37895,455,667,43,1261.800
167262,481603,1060,384,88699,240192,2221,302,71,1286.800
111834,37436,-55,155,43338,16289,-27,14,54,1416.800
543439,995066,6376,2815,204654,331727,8272,3115,60,1451.800
326438,263408,62,74,103335,82504,80,4,52,1726.800
809449,8919633,2709,1369,633492,6384369,7831,4106,101,1756.800
180155,298456,314,246,64296,95157,157,57,57,2041.800
351380,60069,324,263,102404,16993,79,-43,49,2146.800
100713,596806,326,-5,77318,323321,162,-26,81,2311.800
129716,13018,206,-23,46724,4507,115,-94,51,2471.800
135174,83523,203,141,56953,34771,142,53,61,2516.800
161790,176146,485,7,65027,70406,832,-26,55,2616.800
235179,1157569,251,190,94181,439749,35,-15,58,2831.800
179295,335160,1407,878,65526,126881,1824,1058,54,3021.800
122870,245795,1238,538,51245,94937,1721,456,54,3211.800
380648,133776,-44,135,253200,73577,33,-12,77,3246.800
183550,322155,138,146,96144,144389,95,-56,66,3256.800
220734,115917,100,177,83489,43740,-6,104,60,3286.800
164680,18441,4,-1,93013,9732,43,-94,79,3301.800
118502,113865,125,113,38385,36214,-14,92,45,3306.800
126189,151092,259,-6,43101,47364,97,-4,47,3381.800
112394,78975,344,121,34067,23072,178,-33,41,3501.800
189723,224607,319,287,89092,109063,296,140,74,3571.800
295084,154902,503,178,315668,155555,1828,-81,127,3576.800
170116,30765,146,247,47178,8386,-21,25,42,3611.800
159950,120451,23,60,51356,38469,18,-13,47,3641.800
203689,311712,1352,494,133335,203210,3196,904,88,3686.800
139076,33038,-43,-58,70627,16404,-7,145,69,3811.800
413452,1026318,2153,1167,198629,538868,4992,2345,72,3831.800
149788,2078964,153,53,72724,878280,10,-46,65,3926.800
114123,1831112,-22,111,38669,988014,5,36,33,4086.800
512084,1756727,-51,196,207108,1145468,61,-19,41,4086.800
2009641,1648342,-120,-47,882932,1179635,17,-30,47,4086.800
6074404,2251543,1327,347,4303763,882814,668,71,98,4086.800
3465278,1899019,232,132,1208684,272359,183,48,38,4086.800
420938,0,197,1,261024,-709804,-48,25,59,4091.800
8803693,0,261,242,7330257,-8179711,-128,40,84,4091.800
1894668,3615690,138,347,2589517,5341600,-24,952,130,4091.800
306552,421782,3,97,248804,526649,-31,-84,83,4096.800
764416,506152,100,26,567488,516912,49,56,75,4096.800
1626858,717833,116,-29,1099717,596845,-5,19,68,4096.800
2415435,1027689,107,-104,1973189,919695,-75,52,82,4096.800
5561925,1263326,181,41,7799123,-7037933,37,111,139,4096.800
258286,0,357,235,133156,-342406,216,11,51,4106.800
2259950,0,253,168,2312820,-760982,213,14,104,4106.800
102903,151740,142,209,33468,48870,92,99,43,4171.800
