FSC-H,SSC-H,FITC-H,PI-H,PerCP-H,APC-H,FSC-A,SSC-A,FITC-A,PI-A,PerCP-A,APC-A,Width,Time
174831,170852,544,3005,15625,4223,53959,46678,667,4172,20035,11863,41,46.800
1076407,2251429,19181,1268436,4824643,7932,699123,1391035,34730,2020601,7740656,14927,91,46.800
1110555,2126667,15109,784742,3021274,5231,620055,1083079,25550,1264914,4893697,5488,83,46.800
948383,2151901,17982,1109761,4190093,5964,706184,1325509,34237,1761865,6719373,13079,84,46.800
1020080,2245308,15517,864986,3345096,7336,708588,1158585,29922,1379276,5361635,19181,81,46.800
926760,2717442,13238,589901,2272854,2859,598831,1629464,28148,1015257,3972250,1249,89,46.800
673611,1318439,12162,635098,2443843,7791,397179,651820,20658,1078390,4198499,25024,75,46.800
543881,1002594,2504,22083,104247,2859,252388,471168,4519,42257,201246,0,68,46.800
607870,1712077,14046,687834,2642862,6025,409415,814472,22947,1044213,4036286,16899,79,46.800
926867,2090217,19492,1260741,4787850,10403,605482,1138473,33850,2035434,7772720,24968,83,46.800
1013797,4458180,22960,1088449,4219488,44469,742684,2848498,46344,2043460,8042510,44259,86,46.800
757342,1757912,11875,732613,2796416,4954,448128,852633,17865,1033392,3996080,376,78,46.800
944363,2132712,15134,1028594,3948714,6792,570375,1189380,31822,1906310,7353084,9195,89,46.800
742844,1765812,10223,583840,2275009,6630,507493,914361,19639,1004170,3946921,19193,82,46.800
716755,1806692,16320,960814,3647482,2763867,432657,1026803,27300,1462069,5637232,1070424,74,46.800
910103,2104881,12921,630445,2429781,2813,558843,1131739,25375,1058383,4114435,-5771,83,46.800
1075638,1953702,17861,1183433,4530553,4158,613148,1169688,31875,1843981,7147723,-9730,89,46.800
1007249,1750074,16081,739526,2881822,5052,689984,940604,27874,1086851,4273686,11684,83,51.800
1223018,1666723,11927,753165,2871179,5094,1039174,1671200,42043,2238530,8629742,23178,156,51.800
2316653,2903962,16033,806784,3090639,4162,1119477,1289119,26676,1087743,4189526,3658,77,51.800
995851,2129301,15260,687347,2607850,2448189,555537,1168918,30055,1130331,4402228,2653594,76,51.800
2183576,3432555,35816,1841473,7038093,11977,1620466,2363644,87278,3864419,1.484738E+07,21132,93,51.800
1225822,2608558,20876,1112781,4256443,2418762,727266,1497974,42945,2037256,7878784,3601005,79,51.800
1134412,2263977,13622,765382,2928166,9635,708451,1173081,24949,1076633,4185601,24319,83,51.800
902726,2166118,14122,933415,3587492,10553,725302,1970977,46432,2734591,1.061996E+07,23856,109,51.800
1828423,4556828,33097,1740288,6627476,9429,1495376,3251346,79938,4021867,1.5431E+07,14447,102,51.800
732823,1415152,13782,704875,2698789,3761,468341,632214,20491,989872,3831672,1531,72,51.800
743027,1796002,10986,689129,2655378,3549,471293,858252,19300,944629,3679680,1177,73,51.800
219967,716022,562,11933,56836,2909,117573,312822,738,23883,121275,4828,57,51.800
1051749,1693786,12666,759619,2912109,3940,568391,840335,20940,1088732,4187467,12518,78,51.800
743994,2045076,12218,681048,2619661,6878,448917,1096025,22086,1120806,4361336,15781,79,56.800
935071,2342010,17256,1156232,4430926,4082,651491,1216370,29676,1706684,6577888,-10602,87,56.800
683025,1345985,10327,678117,2645273,2360,423668,617748,15356,986014,3862186,-4640,75,56.800
737287,2034410,18200,1191883,4575152,7438,526310,1172678,34168,1976913,7664711,10631,87,56.800
629617,1435114,10425,599596,2301573,26756,324042,715007,19405,1029213,3981726,36895,73,56.800
1203221,2383424,23511,1595418,6071822,11363,921678,1603357,47159,2713640,1.04089E+07,15240,88,56.800
822505,1403281,11985,743167,2877400,3971,460044,685868,19617,1096172,4236255,3541,80,56.800
645943,981637,10432,696570,2652097,706,370209,423514,17491,1053591,4036190,-745,64,61.800
554333,350139,402,9931,50280,5692,231943,130876,358,15761,79907,15963,60,61.800
550819,1256085,2944,24826,110780,669,266204,550620,4080,42229,191494,-1191,72,61.800
623142,1578953,17762,1124083,4257558,8106,459214,949692,30993,1826896,7006819,9096,86,61.800
1280243,2422278,12136,601751,2332792,4804,764639,1307315,22002,935137,3689851,7423,82,61.800
703642,850700,2049,18245,83194,559,282068,300684,2780,22310,111670,365,66,66.800
649405,1955893,15048,883698,3430775,2673132,420503,1034528,26909,1496045,5836373,3064453,75,66.800
246236,335109,1106,27476,111812,6954,89732,122591,1623,37650,162232,13885,51,66.800
1732755,2289502,14016,919858,3542243,6213,1116425,1368852,30108,1960680,7592088,12832,85,66.800
843880,2229229,11477,631492,2478917,2914,520698,1180326,20672,1011028,3975129,-2108,75,66.800
776612,2725187,22722,1274752,4885904,6407,512630,1553659,40004,2053750,7947110,1974,84,66.800
790737,1974901,12995,678217,2623779,2717,513050,904152,24437,1020158,3985849,-3635,77,66.800
544281,1675369,10786,741779,2849791,4895,352550,832669,18882,1049952,4096614,3799,77,66.800
428533,1215744,8958,572472,2224921,1320714,255828,615952,16635,990080,3855815,428110,72,66.800
